date,campaign_id,campaign_name,total_revenue,total_cost,total_profit,total_clicks,total_roi,avg_cpc
2019/01/01,1d9022f3894e9fd2cc330e17947e541f,4cae60674ac2f78da76f0f96058002a5,0.0089829,0.70000001,-0.69101711,7,0.012832714102389798,0.10000000142857143
2019/01/01,1e2e763c5f4343a048cbab40d87e3029,5b399c3a46e43fd2fe1b221ccb3ee705,9.582649946,26.014999858,-16.432349912,473,0.36835095130908463,0.05499999969978858
2019/01/01,1f0a6ea6a08a5a732eedc92b7447664c,bac953e88f6d79514b0b6fc42eb6f3b7,0.013374,0.0,0.013374,30,,0.0
2019/01/01,1f71d67e9705d103abb7c9114fefc351,dc93884a6f0eb5af1d3cf7958feaf39a,0.00175,0.250000005,-0.24825000500000002,5,0.0069999998600000024,0.050000001
2019/01/01,205ce56ddd66e99839d183f61fe228e6,af37283c7ca9e88e304d3a7d01335654,55.783838931,80.710000656,-24.926161725000007,2063,0.6911639013455145,0.03912263725448376
2019/01/01,214d824138cad6ddfd2888d7a62c644a,bac9b4ac8f5f1851e97bd5b6980f3249,0.0072114,1.000000013,-0.992788613,20,0.007211399906251801,0.05000000065
2019/01/01,216d87ce7d81f146b2456670498ccbfd,bac953e88f6d79514b0b6fc42eb6f3b7,300.128627849,0.0,300.128627849,4375,,0.0
2019/01/01,22288ec632c8ba52464ad2ddffd16f4d,6adc5d1f1b275e0d3a10d6855f39ce8d,251.61514884800002,367.835005737,-116.219856889,4943,0.6840435111494078,0.074415335977544
2019/01/01,223729b22debc21025d77f29c984978a,bac953e88f6d79514b0b6fc42eb6f3b7,0.000918,0.0,0.000918,5,,0.0
2019/01/01,2288907014717493303f4bf29e1bc0cd,2dd2bacf14010feaee7d3b9be88d4b29,0.0401265,0.559999986,-0.519873486,7,0.07165446607707594,0.079999998
2019/01/01,2339fdc96d92322b5ab5f3914215fe6f,471fa0fa2eb6a01d1be54812129892c6,25.772409242000002,35.490000151000004,-9.717590909000002,507,0.7261879158170083,0.07000000029783038
2019/01/01,2396e980d680868a1907f177140bdbeb,017c73f7679a9116f9115d1e549e3fd6,2.715806779,18.467999207,-15.752192427999999,513,0.14705473768758973,0.03599999845419103
2019/01/01,245b5576c12a3479e7473f7aca386a03,825067fd6ae01196ddea3a27253bcd23,3.7163086979999997,12.719999714,-9.003691016000001,159,0.29216264005963166,0.07999999820125786
2019/01/01,249e8cf421ec78c07bc4614b5df50114,a7f45eeb37549763872f2fd84eb01d5d,43.085686691999996,78.05000138700001,-34.96431469500001,810,0.5520267255136313,0.09635802640370371
2019/01/01,256c8256f730b09e1daf0266831b4615,35093a7df18fc2c93302d4792dc55f0d,0.622014002,2.900000036,-2.2779860339999995,29,0.21448758423394726,0.1000000012413793
2019/01/01,26715ab851d7c0ac35ffd41205965a17,27a577cf9a3c8de56cc292761ecd0d13,0.0145764,0.389999985,-0.375423585,3,0.03737538605289946,0.129999995
2019/01/01,29d793c90c476bc670e25845ff893e4b,f939b6e4df754096acf4f2c6cc9f22f1,588.512018167,549.654998077,38.85702008999999,7931,1.0706934717703718,0.06930462716895724
2019/01/01,2a5b8d0dde34a294fbbc0b2b968a783e,bac953e88f6d79514b0b6fc42eb6f3b7,0.0041427,0.0,0.0041427,46,,0.0
2019/01/01,2a7348cf2b4c72cd651a141832eef08f,a260196f16496a53a8437bfaed689e88,339.25105504699997,321.788005933,17.463049113999944,4809,1.054268800551988,0.06691370470638387
2019/01/01,2ad2b930354823e4e0822cac9308e0d1,b47d6affd1bef5c623102f6a99b5337c,0.708234612,4.494000036,-3.785765424,42,0.15759559553327962,0.10700000085714285
2019/01/01,2aebfcc9989f15d7bec9420f3e988e7b,8387ce369d69c8af2f85a24ce20641af,0.10832939999999999,0.719999982,-0.611670582,9,0.15045750376143757,0.079999998
